Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\WordStorm\Project Outputs for WordStorm\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       08/12/24
Time:       16:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R21","YC164-JR-07100RL","TopLayer","1206","25.9340","47.7520","180","100 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals"
"R20","YC164-JR-07100RL","TopLayer","1206","25.9380","42.5750","180","100 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals"
"X1","CSTNE8M00G550000R0","TopLayer","3-SMD","43.2252","46.9900","0","8 MHz Ceramic Resonator Built in Capacitor 33 pF ±0.2% 40 Ohms -40°C ~ 85°C Surface Mount"
"U16","APX809S-31SA-7","TopLayer","SOT-23-3","44.2220","57.9120","180","Supervisor Push-Pull, Totem Pole 1 Channel SOT-23-3"
"U15","STM32H743VIT6","TopLayer","100-LQFP","53.9502","48.0060","0","ARM® Cortex®-M7 STM32H7 Microcontroller IC 32-Bit Single-Core 480MHz 2MB (2M x 8) FLASH 100-LQFP (14x14)"
"U14","W25Q64JVSSIQ","TopLayer","8-SOIC","66.0660","43.9420","90","FLASH - NOR Memory IC 64Mbit SPI - Quad I/O 133 MHz 8-SOIC"
"U13","MCP6561T-E/LT","TopLayer","SC-70-5","38.9282","27.9870","180","Comparator General Purpose CMOS, Push-Pull, Rail-to-Rail, TTL SC-70-5"
"U12","MCP6561T-E/LT","TopLayer","SC-70-5","38.9282","32.5590","180","Comparator General Purpose CMOS, Push-Pull, Rail-to-Rail, TTL SC-70-5"
"U11","MCP6561T-E/LT","TopLayer","SC-70-5","17.0440","45.2120","270","Comparator General Purpose CMOS, Push-Pull, Rail-to-Rail, TTL SC-70-5"
"U10","MCP6561T-E/LT","TopLayer","SC-70-5","17.0440","20.0660","270","Comparator General Purpose CMOS, Push-Pull, Rail-to-Rail, TTL SC-70-5"
"U9","DRV8426RGER","TopLayer","24-VQFN","31.1110","20.0620","270","Bipolar Motor Driver Power MOSFET Step/Direction 24-VQFN (4x4)"
"U8","SN74LVC541APWR","TopLayer","20-TSSOP","32.6650","44.4500","180","Buffer, Non-Inverting 1 Element 8 Bit per Element 3-State Output 20-TSSOP"
"U7","SN74LVC2G34DBVR","TopLayer","SOT-23-6","30.5060","52.9590","180","Buffer, Non-Inverting 2 Element 1 Bit per Element Push-Pull Output SOT-23-6"
"U6","TS3USB221ARSER","TopLayer","10-UFQFN","70.9262","50.6560","0","USB Switch IC 2 Channel 10-UQFN (2.0x1.5)"
"U5","STMPS2141STR","TopLayer","SOT-23-5","66.7010","27.8892","0","Power Switch/Driver 1:1 N-Channel 500mA SOT-23-5"
